"x","wx","math_i","math_j","latitude","longitude","poverty","minority","unemployed","single_mom","is_inf","labels"
691.843224990182,628.57774385514,689.780164601281,628.59691143373,33.7868842984291,-84.3323543152817,"Low Poverty","High Pct Minority","Low Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Low Pct Unemployed, High Pct Minority"
698.608427687548,650.336934739196,701.726188151166,650.305958823822,33.9902949794057,-84.2177324275391,"Med Poverty","Low Pct Minority","High Pct Unemployed","High Single Mom",FALSE,"Med Poverty, High Single Mom, High Pct Unemployed, Low Pct Minority"
570.939377830364,604.999079471789,568.001722046174,605.016647395743,39.0144143451901,-76.5007309618748,"Low Poverty","Med Pct Minority","Low Pct Unemployed","High Single Mom",FALSE,"Low Poverty, High Single Mom, Low Pct Unemployed, Med Pct Minority"
570.928081553429,641.842424206912,570.317869236693,641.869811715735,33.4271677358441,-84.6600779986717,"Low Poverty","High Pct Minority","Low Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Low Pct Unemployed, High Pct Minority"
719.963378496468,641.491455479706,720.362627916038,641.487747625038,33.5472749504815,-82.0735277843029,"Med Poverty","Med Pct Minority","Med Pct Unemployed","Med Single Mom",FALSE,"Med Poverty, Med Single Mom, Med Pct Unemployed, Med Pct Minority"
741.361275759526,637.636370699564,741.218766140752,637.615883444957,34.029531398729,-84.4675299261047,"Low Poverty","High Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, High Pct Minority"
739.140525567345,584.153124470285,741.979793337174,584.130934934663,33.9259570965068,-83.3504602758855,"High Poverty","Med Pct Minority","Low Pct Unemployed","High Single Mom",FALSE,"High Poverty, High Single Mom, Low Pct Unemployed, Med Pct Minority"
669.314620447345,644.004324266491,671.86444605235,644.002827458782,33.972649011741,-84.2303993207025,"Med Poverty","Low Pct Minority","High Pct Unemployed","High Single Mom",FALSE,"Med Poverty, High Single Mom, High Pct Unemployed, Low Pct Minority"
608.196438378654,618.98615532157,609.859376023524,618.995656706579,34.1762699030112,-84.2389449449713,"Low Poverty","High Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, High Pct Minority"
618.006166737527,631.646604020641,621.24590505939,631.624795374945,33.8811489624178,-84.1483221182698,"Med Poverty","Low Pct Minority","High Pct Unemployed","Low Single Mom",FALSE,"Med Poverty, Low Single Mom, High Pct Unemployed, Low Pct Minority"
619.817202348262,631.480247251489,620.864169559442,631.517792158294,33.835421165241,-84.0618747244004,"Med Poverty","Low Pct Minority","High Pct Unemployed","Med Single Mom",FALSE,"Med Poverty, Med Single Mom, High Pct Unemployed, Low Pct Minority"
631.395871635526,628.389346722304,629.376984546892,628.362342865858,33.8910030467033,-84.0334790069938,"Med Poverty","Low Pct Minority","High Pct Unemployed","High Single Mom",FALSE,"Med Poverty, High Single Mom, High Pct Unemployed, Low Pct Minority"
671.857058286667,675.008646254921,671.177137233317,675.002013015719,35.1388845670741,-89.7638992087901,"Low Poverty","Low Pct Minority","Low Pct Unemployed","Med Single Mom",FALSE,"Low Poverty, Med Single Mom, Low Pct Unemployed, Low Pct Minority"
731.283366752788,665.015469443975,729.888103431091,665.018358928915,34.0925623887415,-81.2299148236786,"Med Poverty","Med Pct Minority","Med Pct Unemployed","High Single Mom",FALSE,"Med Poverty, High Single Mom, Med Pct Unemployed, Med Pct Minority"
579.048345007002,634.295668379818,581.726475827396,634.299026926067,33.9873092481731,-84.4689364784205,"Low Poverty","High Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, High Pct Minority"
461.3351118071,608.843554984554,458.153319903649,608.84319307046,34.1419940645542,-84.1552743369467,"Low Poverty","High Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, High Pct Minority"
570.87962902803,612.127657633406,570.658364132978,612.125070076343,32.5604219181092,-85.0346329635872,"High Poverty","Med Pct Minority","Med Pct Unemployed","High Single Mom",FALSE,"High Poverty, High Single Mom, Med Pct Unemployed, Med Pct Minority"
521.152936588973,559.986921896515,519.12166895438,559.98625842738,33.0312629167834,-83.3009049574871,"High Poverty","Low Pct Minority","Med Pct Unemployed","High Single Mom",FALSE,"High Poverty, High Single Mom, Med Pct Unemployed, Low Pct Minority"
601.76127897948,689.98049630682,599.374526530504,690.005764880385,34.2226903933495,-84.9764288811371,"Med Poverty","High Pct Minority","Low Pct Unemployed","Med Single Mom",TRUE,"Med Poverty, Med Single Mom, Low Pct Unemployed, High Pct Minority"
681.87741285935,646.789296360078,678.976257735863,646.764673170382,33.9845007221443,-84.2383997501424,"Med Poverty","Low Pct Minority","High Pct Unemployed","High Single Mom",FALSE,"Med Poverty, High Single Mom, High Pct Unemployed, Low Pct Minority"
641.637727351859,652.803346226114,638.78518764209,652.797302804803,34.055821864264,-84.2401730336504,"Low Poverty","Med Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, Med Pct Minority"
598.328329341486,591.242807786548,600.504853195511,591.262921270188,33.5711640320887,-84.1641707452926,"Med Poverty","Low Pct Minority","High Pct Unemployed","High Single Mom",FALSE,"Med Poverty, High Single Mom, High Pct Unemployed, Low Pct Minority"
630.791641701944,570.585223249241,631.371565506794,570.579669522811,34.1021726518865,-83.2270453693066,"High Poverty","High Pct Minority","Med Pct Unemployed","Med Single Mom",FALSE,"High Poverty, Med Single Mom, Med Pct Unemployed, High Pct Minority"
649.982734589837,626.364287781723,649.051225760952,626.359238050021,33.8429589182957,-84.2755984281424,"Low Poverty","Med Pct Minority","Med Pct Unemployed","Med Single Mom",FALSE,"Low Poverty, Med Single Mom, Med Pct Unemployed, Med Pct Minority"
690.306109695695,641.11094905889,690.090744538233,641.122257073708,33.3597880496157,-84.5301900904288,"Low Poverty","High Pct Minority","Low Pct Unemployed","Med Single Mom",FALSE,"Low Poverty, Med Single Mom, Low Pct Unemployed, High Pct Minority"
581.827257444151,610.000891306587,580.072250890546,610.019305339605,33.9560122199084,-84.7306313852412,"Med Poverty","Low Pct Minority","High Pct Unemployed","Med Single Mom",FALSE,"Med Poverty, Med Single Mom, High Pct Unemployed, Low Pct Minority"
618.537789636292,593.196135550997,618.261098953895,593.189059885666,33.921890895043,-83.4261064914793,"High Poverty","Med Pct Minority","Low Pct Unemployed","High Single Mom",FALSE,"High Poverty, High Single Mom, Low Pct Unemployed, Med Pct Minority"
610.734757199883,620.011121641304,611.485259576701,619.991751111513,34.1475061212902,-84.2206520141581,"Low Poverty","Med Pct Minority","Low Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Low Pct Unemployed, Med Pct Minority"
711.922247577459,635.014467918501,710.31604135409,635.01328446934,33.9827398567077,-84.4585331219033,"Low Poverty","High Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, High Pct Minority"
671.790466045029,637.530452821671,669.759573335759,637.548943671929,33.9942156208346,-84.4131435413602,"Low Poverty","High Pct Minority","Med Pct Unemployed","Low Single Mom",FALSE,"Low Poverty, Low Single Mom, Med Pct Unemployed, High Pct Minority"
720.872917232104,527.50634886324,720.476595007814,527.517589036385,33.7135250152919,-84.1911824476263,"High Poverty","Low Pct Minority","High Pct Unemployed","High Single Mom",TRUE,"High Poverty, High Single Mom, High Pct Unemployed, Low Pct Minority"
